CIK,Filed As Of Date,Conformed Period Of Report,Keyword Sentence,item1check
0000056873,20090331,20090131,"(collectively, the Retailers), which was designed to prevent the union from placing disproportionate pressure on one or more of the Retailers by picketing such Retailer(s) but not the other Retailer(s) during the labor dispute in southern California, violated Section 1 of the Sherman Act.",0
0000056873,20090331,20090131,BENEFIT PLANS   The Company administers non-contributory defined benefit retirement plans for substantially all non-union employees and some union-represented employees as determined by the terms and conditions of collective bargaining agreements.,0
0000056873,20090331,20090131,A one-percentage-point change in the assumed health care cost trend rates would have the following effects:              1% Point Increase       1% Point Decrease         Effect on total of service and interest cost components       $   4       $   (3   )     Effect on postretirement benefit obligation       $   29       $   (24   )      62        The Company also contributes to various multi-employer pension plans based on obligations arising from most of its collective bargaining agreements.,0
0000056873,20090331,20090131,Trustees are appointed in equal number by employers and unions.,0
0000056873,20090331,20090131,The Company also administers other defined contribution plans for eligible union and non-union employees.,0
0000001750,20160713,20160531,"Employees   At May 31, 2016, we employed approximately 4,700 employees worldwide, of which approximately 110 employees are subject to a collective bargaining agreement.",0
0000001750,20160713,20160531,"Furthermore, we have a collective bargaining agreement covering approximately 110 employees.",0
0000056873,20100330,20100130,A majority of the Companys employees are covered by collective bargaining agreements negotiated with local unions affiliated with one of several different international unions.,0
0000056873,20100330,20100130,"During 2010, the Company has major labor contracts to be negotiated covering store employees in Albuquerque, Cincinnati, Dallas, Detroit, Ft.",0
0000056873,20100330,20100130,"LABOR RELATIONS   A majority of our employees are covered by collective bargaining agreements with unions, and our relationship with those unions, including a prolonged work stoppage affecting a substantial number of locations, could have a material adverse effect on our results.",0
0000056873,20100330,20100130,We are a party to approximately 305 collective bargaining agreements.,0
0000056873,20100330,20100130,"We have various labor agreements that will be negotiated in 2010, covering store employees in Albuquerque, Cincinnati, Dallas, Detroit, Ft.",0
0000056873,20100330,20100130,"Upon the expiration of our collective bargaining agreements, work stoppages by the affected workers could occur if we are unable to negotiate new contracts with labor unions.",0
0000056873,20100330,20100130,"Further, if we are unable to control health care, pension and wage costs, or gain operational flexibility under our collective bargaining agreements, we may experience increased operating costs and an adverse effect on future results of operations.",0
0000056873,20100330,20100130,"MULTI-EMPLOYER PENSION OBLIGATIONS   As discussed in more detail below in Managements Discussion and Analysis of Financial Condition and Results of Operations-Critical Accounting Policies-Post-Retirement Benefit Plans, Kroger contributes to several multi-employer pension plans based on obligations arising under collective bargaining agreements with unions representing employees covered by those agreements.",0
0000056873,20100330,20100130,"(collectively, the Retailers), which was designed to prevent the union from placing disproportionate pressure on one or more of the Retailers by picketing such Retailer(s) but not the other Retailer(s) during a labor dispute in southern California, violated Section 1 of the Sherman Act.",0
0000056873,20100330,20100130,(b) Multi-Employer Plans   We also contribute to various multi-employer pension plans based on obligations arising from most of our collective bargaining agreements.,0
0000056873,20100330,20100130,Trustees are appointed in equal number by employers and unions.,0
0000056873,20100330,20100130,"In 2010, we expect to contribute approximately $250 million to our multi-employer pension plans, subject to collective bargaining and capital market conditions.",0
0000056873,20100330,20100130,"The amount could decline, and Krogers future expense would be favorably affected, if the values of the assets held in the trust significantly increase or if further changes occur through collective bargaining, trustee action or favorable legislation.",0
0000056873,20100330,20100130,"On the other hand, Krogers share of the underfunding could increase and Krogers future expense could be adversely affected if the asset values decline, if employers currently contributing to these funds cease participation or if changes occur through collective bargaining, trustee action or adverse legislation.",0
0000056873,20100330,20100130,"· We expect to contribute approximately $250 million to multi-employer pension plans in 2010, subject to collective bargaining and capital market conditions.",0
0000056873,20100330,20100130,"· We have various labor agreements that will be negotiated in 2010, covering store employees in Albuquerque, Cincinnati, Dallas, Detroit, Ft.",0
0000056873,20100330,20100130,"Upon the expiration of our collective bargaining agreements, work stoppages by the affected workers could occur if we are unable to negotiate new contracts with labor unions.",0
0000056873,20100330,20100130,The Company also participates in various multi-employer plans for substantially all union employees.,0
0000056873,20100330,20100130,"(collectively, the Retailers), which was designed to prevent the union from placing disproportionate pressure on one or more of the Retailers by picketing such Retailer(s) but not the other Retailer(s) during the labor dispute in southern California, violated Section 1 of the Sherman Act.",0
0000056873,20100330,20100130,BENEFIT PLANS   Company-Sponsored Plans   The Company administers non-contributory defined benefit retirement plans for substantially all non-union employees and some union-represented employees as determined by the terms and conditions of collective bargaining agreements.,0
0000056873,20100330,20100130,Multi-Employer Plans   The Company also contributes to various multi-employer pension plans based on obligations arising from most of its collective bargaining agreements.,0
0000056873,20100330,20100130,Trustees are appointed in equal number by employers and unions.,0
0000001750,20130726,20130531,"Employees   At May 31, 2013, we employed approximately 6,300 employees worldwide, of which approximately 230 employees are subject to a collective bargaining agreement.",0
0000001750,20130726,20130531,"Furthermore, we have a collective bargaining agreement covering approximately 230 employees.",0
0000001750,20120719,20120531,"Employees   At May 31, 2012, we employed approximately 6,700 persons worldwide, of which 460 employees are subject to a collective bargaining agreement.",0
0000001750,20120719,20120531,"Furthermore, we have a collective bargaining agreement covering 460 employees.",0
0000056873,20130402,20130202,A majority of the Companys employees are covered by collective bargaining agreements negotiated with local unions affiliated with one of several different international unions.,0
0000056873,20130402,20130202,"During 2013, the Company will negotiate major labor contracts covering store employees in Indianapolis, Houston, Dallas, Cincinnati and Seattle, among others.",0
0000056873,20130402,20130202,"LABOR RELATIONS   A majority of our employees are covered by collective bargaining agreements with unions, and our relationship with those unions, including a prolonged work stoppage affecting a substantial number of locations, could have a material adverse effect on our results.",0
0000056873,20130402,20130202,We are a party to approximately 300 collective bargaining agreements.,0
0000056873,20130402,20130202,"We have various labor agreements that will be negotiated in 2013, covering store employees in Indianapolis, Houston, Dallas, Cincinnati and Seattle, among others.",0
0000056873,20130402,20130202,"Upon the expiration of our collective bargaining agreements, work stoppages by the affected workers could occur if we are unable to negotiate new contracts with labor unions.",0
0000056873,20130402,20130202,"Further, if we are unable to control health care, pension and wage costs, or if we have insufficient operational flexibility under our collective bargaining agreements, we may experience increased operating costs and an adverse effect on future results of operations.",0
0000056873,20130402,20130202,"MULTI-EMPLOYER PENSION OBLIGATIONS   As discussed in more detail below in Managements Discussion and Analysis of Financial Condition and Results of Operations-Critical Accounting Policies-Multi-Employer Pension Plans, Kroger contributes to several multi-employer pension plans based on obligations arising under collective bargaining agreements with unions representing employees covered by those agreements.",0
0000001800,20180216,20171231,"Many other factors can affect Abbott's profitability and its financial condition, including:    changes in or interpretations of laws and regulations, including changes in accounting standards, taxation requirements, product marketing application standards, product labeling, source and use laws, and environmental laws;   differences between the fair value measurement of assets and liabilities and their actual value, particularly for pensions, retiree health care, stock compensation, intangibles, goodwill, and contingent consideration; and for contingent liabilities such as litigation, the absence of a recorded amount, or an amount recorded at the minimum, compared to the actual amount;   changes in the rate of inflation (including the cost of raw materials, commodities, and supplies), interest rates, market value of Abbott's equity investments, and the performance of investments held by Abbott or Abbott's employee benefit trusts;   changes in the creditworthiness of counterparties that transact business with or provide services to Abbott or Abbott's employee benefit trusts;   changes in business, economic, and political conditions, including: war, political instability, terrorist attacks, the threat of future terrorist activity and related military action; global climate, extreme weather and natural disasters; widespread outbreaks of infectious diseases, the cost and availability of insurance due to any of the foregoing events; labor disputes, strikes, slow-downs, or other forms of labor or union activity; and pressure from third-party interest groups;   changes in Abbott's business units and investments and changes in the relative and absolute contribution of each to earnings and cash flow resulting from evolving business strategies, changing product mix, changes in tax laws or tax rates both in the U.",0
0000001800,20190222,20181231,"Many other factors can affect Abbott's profitability and its financial condition, including:    changes in or interpretations of laws and regulations, including changes in accounting standards, taxation requirements, product marketing application standards, product labeling, source and use laws, and environmental laws;   differences between the fair value measurement of assets and liabilities and their actual value, particularly for pensions, retiree health care, stock compensation, intangibles, goodwill, and contingent consideration; and for contingent liabilities such as litigation, the absence of a recorded amount, or an amount recorded at the minimum, compared to the actual amount;   changes in the rate of inflation (including the cost of raw materials, commodities, and supplies), interest rates, market value of Abbott's equity investments, and the performance of investments held by Abbott or Abbott's employee benefit trusts;   changes in the creditworthiness of counterparties that transact business with or provide services to Abbott or Abbott's employee benefit trusts;   14         changes in business, economic, and political conditions, including: war, political instability, terrorist attacks, the threat of future terrorist activity and related military action; global climate, extreme weather and natural disasters; widespread outbreaks of infectious diseases, the cost and availability of insurance due to any of the foregoing events; labor disputes, strikes, slow-downs, or other forms of labor or union activity; and pressure from third-party interest groups;   changes in Abbott's business units and investments and changes in the relative and absolute contribution of each to earnings and cash flow resulting from evolving business strategies, changing product mix, changes in tax laws or tax rates both in the U.",0
0000056873,20190402,20190202,A majority of our employees are covered by collective bargaining agreements negotiated with local unions affiliated with one of several different international unions.,0
0000056873,20190402,20190202,"LABOR RELATIONS       A majority of our employees are covered by collective bargaining agreements with unions, and our relationship with those unions, including a prolonged work stoppage affecting a substantial number of locations, could have a material adverse effect on our results.",0
0000056873,20190402,20190202,We are a party to approximately 360 collective bargaining agreements.,0
0000056873,20190402,20190202,"Upon the expiration of our collective bargaining agreements, work stoppages by the affected workers could occur if we are unable to negotiate new contracts with labor unions.",0
0000056873,20190402,20190202,"Further, if we are unable to control health care, pension and wage costs, or if we have insufficient operational flexibility under our collective bargaining agreements, we may experience increased operating costs and an adverse effect on our financial condition, results of operations, or cash flows.",0
0000056873,20190402,20190202,"MULTI-EMPLOYER PENSION OBLIGATIONS       As discussed in more detail below in “Management’s Discussion and Analysis of Financial Condition and Results of Operations-Critical Accounting Policies-Multi-Employer Pension Plans,” Kroger contributes to several multi-employer pension plans based on obligations arising under collective bargaining agreements with unions representing employees covered by those agreements.",0
0000001800,20120221,20111231,"and other parts of the world and related military action; natural disasters; the cost and availability of insurance due to any of the foregoing events; labor disputes, strikes, slow-downs, or other forms of labor or union activity; and pressure from third-party interest groups.",0
0000001800,20160219,20151231,"Many other factors can affect Abbott's profitability and its financial condition, including:    changes in or interpretations of laws and regulations, including changes in accounting standards, taxation requirements, product marketing application standards, product labeling, source and use laws, and environmental laws;   differences between the fair value measurement of assets and liabilities and their actual value, particularly for pensions, retiree health care, stock compensation, intangibles, and goodwill; and for contingent liabilities such as litigation, the absence of a recorded amount, or an amount recorded at the minimum, compared to the actual amount;   changes in the rate of inflation (including the cost of raw materials, commodities, and supplies), interest rates, market value of Abbott's equity investments, and the performance of investments held by Abbott or Abbott's employee benefit trusts;   changes in the creditworthiness of counterparties that transact business with or provide services to Abbott or Abbott's employee benefit trusts;   14         changes in business, economic, and political conditions, including: war, political instability, terrorist attacks, the threat of future terrorist activity and related military action; global climate, extreme weather and natural disasters; widespread outbreaks of infectious diseases, the cost and availability of insurance due to any of the foregoing events; labor disputes, strikes, slow-downs, or other forms of labor or union activity; and pressure from third-party interest groups;    changes in Abbott's business units and investments and changes in the relative and absolute contribution of each to earnings and cash flow resulting from evolving business strategies, changing product mix, changes in tax laws or tax rates both in the U.",0
0000056873,20110329,20110129,A majority of the Companys employees are covered by collective bargaining agreements negotiated with local unions affiliated with one of several different international unions.,0
0000056873,20110329,20110129,"During 2011, the Company has major labor contracts to be negotiated covering store employees in southern California, Memphis and West Virginia.",0
0000056873,20110329,20110129,"LABOR RELATIONS   A majority of our employees are covered by collective bargaining agreements with unions, and our relationship with those unions, including a prolonged work stoppage affecting a substantial number of locations, could have a material adverse effect on our results.",0
0000056873,20110329,20110129,We are a party to approximately 300 collective bargaining agreements.,0
0000056873,20110329,20110129,"We have various labor agreements that will be negotiated in 2011, covering store employees in southern California, Memphis and West Virginia.",0
0000056873,20110329,20110129,"Upon the expiration of our collective bargaining agreements, work stoppages by the affected workers could occur if we are unable to negotiate new contracts with labor unions.",0
0000056873,20110329,20110129,"Further, if we are unable to control health care, pension and wage costs, or have sufficient operational flexibility under our collective bargaining agreements, we may experience increased operating costs and an adverse effect on future results of operations.",0
0000056873,20110329,20110129,"MULTI-EMPLOYER PENSION OBLIGATIONS   As discussed in more detail below in Managements Discussion and Analysis of Financial Condition and Results of Operations-Critical Accounting Policies-Post-Retirement Benefit Plans, Kroger contributes to several multi-employer pension plans based on obligations arising under collective bargaining agreements with unions representing employees covered by those agreements.",0
0000056873,20110329,20110129,"(collectively, the Retailers), which was designed to prevent the union from placing disproportionate pressure on one or more of the Retailers by picketing such Retailer(s) but not the other Retailer(s) during the labor dispute in southern California, violated Section 1 of the Sherman Act.",0
0000056873,20110329,20110129,(b) Multi-Employer Plans   We also contribute to various multi-employer pension plans based on obligations arising from most of our collective bargaining agreements.,0
0000056873,20110329,20110129,Trustees are appointed in equal number by employers and unions.,0
0000056873,20110329,20110129,"In 2011, we expect to contribute approximately $300 million to our multi-employer pension plans, subject to collective bargaining and capital market conditions.",0
0000056873,20110329,20110129,"The amount could decline, and Krogers future expense would be favorably affected, if the values of the assets held in the trust significantly increase or if further changes occur through collective bargaining, trustee action or favorable legislation.",0
0000056873,20110329,20110129,"On the other hand, Krogers share of the underfunding could increase and Krogers future expense could be adversely affected if the asset values decline, if employers currently contributing to these funds cease participation or if changes occur through collective bargaining, trustee action or adverse legislation.",0
0000056873,20110329,20110129,"· We expect to contribute approximately $300 million to multi-employer pension plans in 2011, subject to collective bargaining.",0
0000056873,20110329,20110129,"· We have various labor agreements that will be negotiated in 2011, covering store employees in southern California, Memphis and West Virginia.",0
0000056873,20110329,20110129,"Upon the expiration of our collective bargaining agreements, work stoppages by the affected workers could occur if we are unable to negotiate new contracts with labor unions.",0
0000056873,20110329,20110129,The Company also participates in various multi-employer plans for substantially all union employees.,0
0000056873,20110329,20110129,"(collectively, the Retailers), which was designed to prevent the union from placing disproportionate pressure on one or more of the Retailers by picketing such Retailer(s) but not the other Retailer(s) during the labor dispute in southern California, violated Section 1 of the Sherman Act.",0
0000056873,20110329,20110129,BENEFIT PLANS   Company-Sponsored Plans   The Company administers non-contributory defined benefit retirement plans for substantially all non-union employees and some union-represented employees as determined by the terms and conditions of collective bargaining agreements.,0
0000056873,20110329,20110129,Multi-Employer Plans   The Company also contributes to various multi-employer pension plans based on obligations arising from most of its collective bargaining agreements.,0
0000056873,20110329,20110129,Trustees are appointed in equal number by employers and unions.,0
0000001800,20170217,20161231,"Many other factors can affect Abbott's profitability and its financial condition, including:    changes in or interpretations of laws and regulations, including changes in accounting standards, taxation requirements, product marketing application standards, product labeling, source and use laws, and environmental laws;   differences between the fair value measurement of assets and liabilities and their actual value, particularly for pensions, retiree health care, stock compensation, intangibles, goodwill, and contingent consideration; and for contingent liabilities such as litigation, the absence of a recorded amount, or an amount recorded at the minimum, compared to the actual amount;   changes in the rate of inflation (including the cost of raw materials, commodities, and supplies), interest rates, market value of Abbott's equity investments, and the performance of investments held by Abbott or Abbott's employee benefit trusts;   changes in the creditworthiness of counterparties that transact business with or provide services to Abbott or Abbott's employee benefit trusts;   changes in business, economic, and political conditions, including: war, political instability, terrorist attacks, the threat of future terrorist activity and related military action; global climate, extreme weather and natural disasters; widespread outbreaks of infectious diseases, the cost and availability of insurance due to any of the foregoing events; labor disputes, strikes, slow-downs, or other forms of labor or union activity; and pressure from third-party interest groups;   changes in Abbott's business units and investments and changes in the relative and absolute contribution of each to earnings and cash flow resulting from evolving business strategies, changing product mix, changes in tax laws or tax rates both in the U.",0
0000001800,20140221,20131231,"Many other factors can affect Abbott's profitability and its financial condition, including:   changes in or interpretations of laws and regulations, including changes in accounting standards, taxation requirements, product marketing application standards, product labeling, source and use laws, and environmental laws;  differences between the fair value measurement of assets and liabilities and their actual value, particularly for pensions, retiree health care, stock compensation, intangibles, and goodwill; and for contingent liabilities such as litigation, the absence of a recorded amount, or an amount recorded at the minimum, compared to the actual amount;  changes in the rate of inflation (including the cost of raw materials, commodities, and supplies), interest rates, market value of Abbott's equity investments, and the performance of investments held by Abbott or Abbott's employee benefit trusts;  changes in the creditworthiness of counterparties that transact business with or provide services to Abbott or Abbott's employee benefit trusts;  changes in business, economic, and political conditions, including: war, political instability, terrorist attacks, the threat of future terrorist activity and related military action; natural disasters; the cost and availability of insurance due to any of the foregoing events; labor disputes, strikes, slow-downs, or other forms of labor or union activity; and pressure from third-party interest groups;  changes in Abbott's business units and investments and changes in the relative and absolute contribution of each to earnings and cash flow resulting from evolving business strategies, changing product mix, changes in tax laws or tax rates both in the U.",0
0000001800,20130215,20121231,"Many other factors can affect Abbott's profitability and its financial condition, including:   changes in or interpretations of laws and regulations, including changes in accounting standards, taxation requirements, product marketing application standards, product labeling, source, and use laws, and environmental laws;  differences between the fair value measurement of assets and liabilities and their actual value, particularly for pensions, retiree health care, stock compensation, intangibles, and goodwill; and for contingent liabilities such as litigation, the absence of a recorded amount, or an amount recorded at the minimum, compared to the actual amount;  changes in the rate of inflation (including the cost of raw materials, commodities, and supplies), interest rates, market value of Abbott's equity investments, and the performance of investments held by Abbott or Abbott's employee benefit trusts;  changes in the creditworthiness of counterparties that transact business with or provide services to Abbott or Abbott's employee benefit trusts;  changes in business, economic, and political conditions, including: war, political instability, terrorist attacks, the threat of future terrorist activity and related military action; natural disasters; the cost and availability of insurance due to any of the foregoing events; labor disputes, strikes, slow-downs, or other forms of labor or union activity; and pressure from third-party interest groups;  changes in Abbott's business units and investments and changes in the relative and absolute contribution of each to earnings and cash flow resulting from evolving business strategies, changing product mix, changes in tax laws or tax rates both in the U.",0
0000056873,20180403,20180203,A majority of our employees are covered by collective bargaining agreements negotiated with local unions affiliated with one of several different international unions.,0
0000056873,20180403,20180203,"LABOR RELATIONS       A majority of our employees are covered by collective bargaining agreements with unions, and our relationship with those unions, including a prolonged work stoppage affecting a substantial number of locations, could have a material adverse effect on our results.",0
0000056873,20180403,20180203,We are a party to approximately 360 collective bargaining agreements.,0
0000056873,20180403,20180203,"Upon the expiration of our collective bargaining agreements, work stoppages by the affected workers could occur if we are unable to negotiate new contracts with labor unions.",0
0000056873,20180403,20180203,"Further, if we are unable to control health care, pension and wage costs, or if we have insufficient operational flexibility under our collective bargaining agreements, we may experience increased operating costs and an adverse effect on our financial condition, results of operations, or cash flows.",0
0000056873,20180403,20180203,"MULTI-EMPLOYER PENSION OBLIGATIONS       As discussed in more detail below in “Management’s Discussion and Analysis of Financial Condition and Results of Operations-Critical Accounting Policies-Multi-Employer Pension Plans,” Kroger contributes to several multi-employer pension plans based on obligations arising under collective bargaining agreements with unions representing employees covered by those agreements.",0
0000001800,20110218,20101231,"and other parts of the world and related military action; natural disasters; the cost and availability of insurance due to any of the foregoing events; labor disputes, strikes, slow-downs, or other forms of labor or union activity; and pressure from third-party interest groups.",0
0000056873,20170328,20170128,A majority of our employees are covered by collective bargaining agreements negotiated with local unions affiliated with one of several different international unions.,0
0000056873,20170328,20170128,"LABOR RELATIONS       A majority of our employees are covered by collective bargaining agreements with unions, and our relationship with those unions, including a prolonged work stoppage affecting a substantial number of locations, could have a material adverse effect on our results.",0
0000056873,20170328,20170128,We are a party to approximately 366 collective bargaining agreements.,0
0000056873,20170328,20170128,"Upon the expiration of our collective bargaining agreements, work stoppages by the affected workers could occur if we are unable to negotiate new contracts with labor unions.",0
0000056873,20170328,20170128,"Further, if we are unable to control health care, pension and wage costs, or if we have insufficient operational flexibility under our collective bargaining agreements, we may experience increased operating costs and an adverse effect on our financial condition, results of operations, or cash flows.",0
0000056873,20170328,20170128,"5      MULTI-EMPLOYER PENSION OBLIGATIONS       As discussed in more detail below in “Management’s Discussion and Analysis of Financial Condition and Results of Operations-Critical Accounting Policies-Multi-Employer Pension Plans,” Kroger contributes to several multi-employer pension plans based on obligations arising under collective bargaining agreements with unions representing employees covered by those agreements.",0
0000001800,20150227,20141231,"Many other factors can affect Abbott's profitability and its financial condition, including:    changes in or interpretations of laws and regulations, including changes in accounting standards, taxation requirements, product marketing application standards, product labeling, source and use laws, and environmental laws;   differences between the fair value measurement of assets and liabilities and their actual value, particularly for pensions, retiree health care, stock compensation, intangibles, and goodwill; and for contingent liabilities such as litigation, the absence of a recorded amount, or an amount recorded at the minimum, compared to the actual amount;   changes in the rate of inflation (including the cost of raw materials, commodities, and supplies), interest rates, market value of Abbott's equity investments, and the performance of investments held by Abbott or Abbott's employee benefit trusts;   changes in the creditworthiness of counterparties that transact business with or provide services to Abbott or Abbott's employee benefit trusts;   changes in business, economic, and political conditions, including: war, political instability, terrorist attacks, the threat of future terrorist activity and related military action; natural disasters; the cost and availability of insurance due to any of the foregoing events; labor disputes, strikes, slow-downs, or other forms of labor or union activity; and pressure from third-party interest groups;   changes in Abbott's business units and investments and changes in the relative and absolute contribution of each to earnings and cash flow resulting from evolving business strategies, changing product mix, changes in tax laws or tax rates both in the U.",0
0000001800,20090220,20081231,"and other parts of the world and related military action; natural disasters; the cost and availability of insurance due to any of the foregoing events; labor disputes, strikes, slow-downs, or other forms of labor or union activity; and pressure from third-party interest groups.",0
0000001800,20100219,20091231,"and other parts of the world and related military action; natural disasters; the cost and availability of insurance due to any of the foregoing events; labor disputes, strikes, slow-downs, or other forms of labor or union activity; and pressure from third-party interest groups.",0
0000002034,20110909,20110630,"Employees   At June 30, 2011, we had 238 employees, none of whom were covered by a collective bargaining agreement.",0
0000002034,20100910,20100630,"5          Employees   At June 30, 2010, we had 216 employees, none of whom were covered by a collective bargaining agreement.",0
0000002034,20090911,20090630,"Employees   At June 30, 2009, we had 221 employees, none of whom were covered by a collective bargaining agreement.",0
0000002034,20160826,20160630,"Employees   At June 30, 2016, we had 270 employees, none of whom were covered by a collective bargaining agreement.",0
0000056873,20140401,20140201,A majority of the Companys employees are covered by collective bargaining agreements negotiated with local unions affiliated with one of several different international unions.,0
0000056873,20140401,20140201,"LABOR RELATIONS   A majority of our employees are covered by collective bargaining agreements with unions, and our relationship with those unions, including a prolonged work stoppage affecting a substantial number of locations, could have a material adverse effect on our results.",0
0000056873,20140401,20140201,We are a party to approximately 300 collective bargaining agreements.,0
0000056873,20140401,20140201,"We have various labor agreements that will be negotiated in 2014, covering store employees in Cincinnati, Atlanta, Southern California, New Mexico, Richmond/Hampton Roads, West Virginia and Arizona, and an agreement with Teamsters covering several distribution and manufacturing facilities.",0
0000056873,20140401,20140201,"Upon the expiration of our collective bargaining agreements, work stoppages by the affected workers could occur if we are unable to negotiate new contracts with labor unions.",0
0000056873,20140401,20140201,"Further, if we are unable to control health care, pension and wage costs, or if we have insufficient operational flexibility under our collective bargaining agreements, we may experience increased operating costs and an adverse effect on our financial condition, results of operations, or cash flows.",0
0000056873,20140401,20140201,"MULTI-EMPLOYER PENSION OBLIGATIONS   As discussed in more detail below in Managements Discussion and Analysis of Financial Condition and Results of Operations-Critical Accounting Policies-Multi-Employer Pension Plans, Kroger contributes to several multi-employer pension plans based on obligations arising under collective bargaining agreements with unions representing employees covered by those agreements.",0
0000002034,20170825,20170630,"7       Employees   At June 30, 2017, we had 286 employees, none of whom were covered by a collective bargaining agreement.",0
0000002034,20150911,20150630,"Employees   At June 30, 2015, we had 270 employees, none of whom were covered by a collective bargaining agreement.",0
0000002034,20180928,20180630,"Employees   At June 30, 2018, we had 315 employees, none of whom were covered by a collective bargaining agreement.",0
0000056873,20160329,20160130,A majority of our employees are covered by collective bargaining agreements negotiated with local unions affiliated with one of several different international unions.,0
